,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
FacesUCR,"[0.92206888 0.98792131 0.89557688 0.98644854 0.90061082 0.92390483
 0.97976738 0.99217709 0.98956283 0.75884123 0.89521368 0.98479333
 0.73636364 0.98824087]","[0.922048   0.9871058  0.90860999 0.97749125 0.90498372 0.92969345
 0.98566552 1.         0.98424147 0.81412992 0.88873173 0.98968277
 0.79059833 0.97354721]","[0.62342171 0.41887979 0.50925251 0.70631867 0.63318609 0.38291826
 0.74076639 0.8428667  0.48007103 0.6029834  0.28809123 0.
 0.24514966 0.66117952]","[0.65130855 0.59775175 0.5594435  0.859036   0.67025193 0.8995006
 0.38341629 0.9044603  0.88135124 0.46868105 0.82843679 0.
 0.58076442 0.7776173 ]","[0.91190757 0.99700299 0.89364792 0.98363111 0.88810188 0.93690126
 0.98770492 0.99607831 0.9880778  0.77757367 0.87120711 0.99315651
 0.81927114 0.9849412 ]","[0.94462553 0.97055056 0.90261661 0.9834605  0.89213999 0.95551294
 0.98370351 0.99480176 0.98684531 0.81687026 0.87672365 0.96148141
 0.80764584 0.98167252]"
FiftyWords,"[0.89180306 0.77398368 0.76732125 0.81146572 0.83882587 0.77003367
 0.86406186 0.70086957 0.73275362 0.6763285  0.74890784 0.38700733
 0.45387894 0.92374728 0.63492063 0.45054945 0.502331   0.80538721
 0.89316239 0.17857143 0.32727273 0.82962963 0.42857143 0.40909091
 0.42195767 0.9010989  0.44814815 0.8        0.37671958 0.26190476
 1.         0.62037037 0.32671958 0.         0.55555556 0.
 0.96296296 0.66666667 0.23597884 0.         0.0952381  0.46666667
 0.         0.66666667 0.71111111 0.7        0.22222222 0.11111111
 0.         0.85707722]","[0.90848268 0.79276427 0.75306342 0.8665155  0.83333333 0.82638889
 0.86845466 0.79216783 0.78497213 0.6979798  0.71861472 0.45384615
 0.56004141 0.94335512 0.64835165 0.44551282 0.46438746 0.63492063
 0.81196581 0.17857143 0.4        0.8962963  0.69191919 0.3989899
 0.27380952 1.         0.76666667 0.78518519 0.25505051 0.23148148
 1.         0.67222222 0.31005291 0.         0.61111111 0.3952381
 1.         0.63492063 0.21060606 0.         0.41269841 0.71111111
 0.         0.49047619 0.75555556 1.         0.38888889 0.26190476
 0.         0.86101864]","[0.35610341 0.         0.33979136 0.46065359 0.34920635 0.19838615
 0.38857143 0.23684211 0.23597884 0.         0.58218954 0.2570028
 0.25620915 0.28669109 0.         0.15069615 0.         0.38787879
 0.57936508 0.2526455  0.03703704 0.79365079 0.53099415 0.43003663
 0.25       0.84126984 0.23333333 0.2483165  0.         0.04444444
 0.77777778 0.08333333 0.28438228 0.         0.         0.
 0.44599845 0.50529101 0.         0.         0.23148148 0.28717949
 0.         0.29304029 0.         0.70714286 0.         0.51481481
 0.1031746  0.        ]","[0.34444298 0.44624522 0.70250896 0.72832306 0.51857542 0.62735043
 0.70851754 0.62307692 0.48214286 0.7463925  0.61333333 0.34276018
 0.42546584 0.63148148 0.30917874 0.27407407 0.33253512 0.4025641
 0.72020202 0.12962963 0.05128205 0.38888889 0.54689755 0.32051282
 0.22478632 0.4124183  0.45014245 0.58694639 0.1962963  0.25185185
 0.48148148 0.73809524 0.23597884 0.         0.         0.27380952
 0.57051282 0.78571429 0.27380952 0.         0.         0.50952381
 0.         0.52222222 0.32380952 0.33968254 0.2526455  0.08333333
 0.         0.        ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
ECGFiveDays,[0.99040643 0.99023373],[0.9858764  0.98624163],[0.66924266 0.        ],[0.66924266 0.        ],[0.99616417 0.99609222],[0.99018453 0.99045437]
FaceFour,[0.92857143 0.96       0.95238095 1.        ],[0.92857143 0.96       0.95238095 1.        ],[0.         0.70874862 0.46259437 0.        ],[0.         0.59691622 0.45722222 0.        ],[0.92857143 0.96       0.95238095 1.        ],[0.92857143 0.96       0.95238095 1.        ]
MiddlePhalanxOutlineCorrect,[0.77692807 0.85550135],[0.7559256  0.83291604],[0.60096154 0.        ],[0.60096154 0.        ],[0.76751667 0.84385837],[0.78218572 0.84846896]
ECG200,[0.83680743 0.91316592],[0.82418676 0.91268913],[0.52941176 0.        ],[0.52941176 0.        ],[0.82743031 0.9118564 ],[0.83911117 0.91640932]
InsectEPGSmallTrain,[0.         0.33105372 0.        ],[0.22540592 0.         0.64435292],[0.         0.61056106 0.86711712],[0.         0.41584158 1.        ],[0.81271866 0.         0.26969697],[0.28297362 0.         0.14520895]
InlineSkate,"[0.32749274 0.31004337 0.32418954 0.32580605 0.54355333 0.39111932
 0.50064739]","[0.3712406  0.34205571 0.28279959 0.32154504 0.49693421 0.38102677
 0.50740741]","[0.23837209 0.         0.         0.21737321 0.30843631 0.18129013
 0.13604024]","[0.17340178 0.         0.         0.1170068  0.11040325 0.19255414
 0.29035764]","[0.37288686 0.32637153 0.27299468 0.2583256  0.46736229 0.37854976
 0.43259551]","[0.35549236 0.2884962  0.28566408 0.31914827 0.50605848 0.4260668
 0.45488939]"
ChlorineConcentration,[0.72484154 0.89534235 0.84615221],[0.72158079 0.88336602 0.83224201],[0.34990623 0.         0.2415924 ],[0.35839996 0.         0.34206286],[0.72705616 0.88338344 0.84057218],[0.72826411 0.88846226 0.81798118]
ECG5000,[0.93086263 0.45347705 0.40721096 0.08222222 0.98483378],[0.93380783 0.44321887 0.41003095 0.08695652 0.98317868],[0.80768946 0.04686773 0.12250743 0.00741776 0.        ],[0.74095386 0.16657754 0.08844947 0.01945371 0.        ],[0.92967389 0.44648102 0.42417538 0.08454106 0.9848181 ],[0.9306463  0.48822932 0.41630027 0.05555556 0.98427324]
